code	desc
1	A Agricultura, ganadería, silvicultura y pesca
2	B Explotación de minas y canteras
3	C Industrias manufactureras
4	D Suministro de electricidad, gas, vapor y aire acondicionado
5	E Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación
6	F Construcción
7	G Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas
8	H Transporte y almacenamiento
9	I Actividades de alojamiento y de servicio de comidas
10	J Información y comunicaciones
11	K Actividades financieras y de seguros
12	L Actividades inmobiliarias
13	M Actividades profesionales, científicas y técnicas
14	N Actividades de servicios administrativos y de apoyo
15	O Administración pública y defensa; planes de seguridad social de afiliación obligatoria
16	P Enseñanza
17	Q Actividades de atención de la salud humana y de asistencia social
18	R Actividades artísticas, de entretenimiento y recreativas
19	S Otras actividades de servicios
20	T Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio
21	U Actividades de organizaciones y órganos extraterritoriales
